detail,event_count,file_path,matched_media_id,matched_slug,media_type,plex_guid,sidecar_path,status,title
title-only movie match,198,F:\MediaStack\data\media\movies\Hot Fuzz (2007)\Hot Fuzz (2007) [Bluray-1080p] {imdb-tt0425112}.mp4,2099,hot-fuzz,movie,imdb://tt0425112,F:\MediaStack\data\media\movies\Hot Fuzz (2007)\Hot Fuzz (2007) [Bluray-1080p] {imdb-tt0425112}.leapfrog.json,written,Hot Fuzz
title-only movie match,160,F:\MediaStack\data\media\movies\The Help (2011)\The Help (2011) [Bluray-1080p] {imdb-tt1454029}.mkv,1445,the-help,movie,imdb://tt1454029,F:\MediaStack\data\media\movies\The Help (2011)\The Help (2011) [Bluray-1080p] {imdb-tt1454029}.leapfrog.json,written,The Help
title-only movie match,167,F:\MediaStack\data\media\movies\Hercules (1997)\Hercules (1997) [Bluray-1080p] {imdb-tt0119282}.mp4,1572,hercules-2014,movie,imdb://tt0119282,F:\MediaStack\data\media\movies\Hercules (1997)\Hercules (1997) [Bluray-1080p] {imdb-tt0119282}.leapfrog.json,written,Hercules
title-only movie match,167,F:\MediaStack\data\media\movies\Hercules (2014)\Hercules (2014) [Bluray-1080p] {imdb-tt1267297}.mp4,1572,hercules-2014,movie,imdb://tt1267297,F:\MediaStack\data\media\movies\Hercules (2014)\Hercules (2014) [Bluray-1080p] {imdb-tt1267297}.leapfrog.json,written,Hercules
title-only movie match,147,F:\MediaStack\data\media\movies\Here (2024)\Here (2024) [Bluray-1080p] {imdb-tt18272208}.mkv,700505,here,movie,imdb://tt18272208,F:\MediaStack\data\media\movies\Here (2024)\Here (2024) [Bluray-1080p] {imdb-tt18272208}.leapfrog.json,written,Here
title-only movie match,259,F:\MediaStack\data\media\movies\Highlander (1986)\Highlander (1986) [Bluray-1080p] {imdb-tt0091203}.mkv,2926,highlander,movie,imdb://tt0091203,F:\MediaStack\data\media\movies\Highlander (1986)\Highlander (1986) [Bluray-1080p] {imdb-tt0091203}.leapfrog.json,written,Highlander
title-only movie match,138,F:\MediaStack\data\media\movies\Hitch (2005)\Hitch (2005) [Bluray-1080p] {imdb-tt0386588}.mp4,1030,hitch,movie,imdb://tt0386588,F:\MediaStack\data\media\movies\Hitch (2005)\Hitch (2005) [Bluray-1080p] {imdb-tt0386588}.leapfrog.json,written,Hitch
title-only movie match,138,F:\MediaStack\data\media\movies\Harry and the Hendersons (1987)\Harry and the Hendersons (1987) [Bluray-1080p] {imdb-tt0093148}.mp4,2954,harry-and-the-hendersons,movie,imdb://tt0093148,F:\MediaStack\data\media\movies\Harry and the Hendersons (1987)\Harry and the Hendersons (1987) [Bluray-1080p] {imdb-tt0093148}.leapfrog.json,written,Harry and the Hendersons
title-only movie match,455,F:\MediaStack\data\media\movies\Hellboy (2004)\Hellboy (2004) [Bluray-1080p] {imdb-tt0167190}.mkv,671725,hellboy-0d5fa,movie,imdb://tt0167190,F:\MediaStack\data\media\movies\Hellboy (2004)\Hellboy (2004) [Bluray-1080p] {imdb-tt0167190}.leapfrog.json,written,Hellboy
title-only movie match,338,F:\MediaStack\data\media\movies\Grown Ups 2 (2013)\Grown Ups 2 (2013) [Bluray-1080p] {imdb-tt2191701}.mp4,3018,grown-ups-2,movie,imdb://tt2191701,F:\MediaStack\data\media\movies\Grown Ups 2 (2013)\Grown Ups 2 (2013) [Bluray-1080p] {imdb-tt2191701}.leapfrog.json,written,Grown Ups 2
title-only movie match,291,F:\MediaStack\data\media\movies\Hacksaw Ridge (2016)\Hacksaw Ridge (2016) [Bluray-1080p] {imdb-tt2119532}.mkv,4079,hacksaw-ridge,movie,imdb://tt2119532,F:\MediaStack\data\media\movies\Hacksaw Ridge (2016)\Hacksaw Ridge (2016) [Bluray-1080p] {imdb-tt2119532}.leapfrog.json,written,Hacksaw Ridge
title-only movie match,205,F:\MediaStack\data\media\movies\Hancock (2008)\Hancock (2008) [Bluray-1080p] {imdb-tt0448157}.mkv,2661,hancock,movie,imdb://tt0448157,F:\MediaStack\data\media\movies\Hancock (2008)\Hancock (2008) [Bluray-1080p] {imdb-tt0448157}.leapfrog.json,written,Hancock
title-only movie match,181,F:\MediaStack\data\media\movies\Happy Gilmore (1996)\Happy Gilmore (1996) [Bluray-1080p] {imdb-tt0116483}.mkv,2071,happy-gilmore,movie,imdb://tt0116483,F:\MediaStack\data\media\movies\Happy Gilmore (1996)\Happy Gilmore (1996) [Bluray-1080p] {imdb-tt0116483}.leapfrog.json,written,Happy Gilmore
title-only movie match,132,F:\MediaStack\data\media\movies\Goosebumps (2015)\Goosebumps (2015) [Bluray-1080p] {imdb-tt1051904}.mkv,2512,goosebumps,movie,imdb://tt1051904,F:\MediaStack\data\media\movies\Goosebumps (2015)\Goosebumps (2015) [Bluray-1080p] {imdb-tt1051904}.leapfrog.json,written,Goosebumps
