show_title,show_slug,service_slug,year,rating,season_count,episode_count,event_count,category_count,tag_set_count
Ginny & Georgia,ginny-georgia-a9aff,netflix,2021,TV-14,3,30,2961,5,30
Girl Taken,girl-taken-1a54f,paramount,2026,TV-MA,1,6,354,5,6
Girlboss,girlboss-c2838,netflix,2017,TV-MA,1,13,928,5,13
Girls5eva,girls5eva-c95c9,netflix,2021,TV-MA,1,8,753,4,8
Glitch,glitch-46a35,netflix,2022,TV-MA,1,10,450,5,10
Glitch,glitch-c516f,netflix,2015,TV-MA,3,18,1331,5,18
Glitter & Gold: Ice Dancing,glitter-gold-ice-dancing-9fd0c,netflix,2026,TV-14,1,3,180,4,3
GLOW,glow-e2557,netflix,2017,TV-MA,3,30,3138,5,30
God's Favorite Idiot,gods-favorite-idiot-05688,netflix,2022,TV-MA,1,8,350,5,8
Godless,godless-d214f,netflix,2017,TV-MA,1,7,554,4,7
Goliath,goliath-d3037,amazon-channels-mgm,2016,TV-MA,4,32,3249,5,32
Gone for Good,gone-for-good-0471a,netflix,2021,TV-MA,1,5,461,5,5
Good Cop/Bad Cop,good-copbad-cop-6b46e,amazon-prime,2025,TV-PG,1,8,462,5,8
Good Girls,good-girls-aa018,netflix,2018,TV-14,4,50,2178,5,50
Good Grief,good-grief-6e29d,amazon-channels-amc,2021,NR,1,6,195,5,6
"Good Morning, Verônica",good-morning-veronica-b97b3,netflix,2020,TV-MA,3,17,991,5,17
Good Omens,good-omens-f131f,amazon-prime,2019,TV-14,3,13,493,5,13
Government Cheese,government-cheese-0cff5,appletv,2025,TV-MA,1,10,265,5,10
Grace,grace-17a36,amazon-channels-britbox,2021,TV-MA,3,8,630,5,8
Grace and Frankie,grace-and-frankie-f5a88,netflix,2015,TV-MA,7,94,4815,5,94
Grand Army,grand-army-ba70c,netflix,2020,TV-MA,1,9,1737,5,9
Grantchester,grantchester-2dfd1,amazon-channels-pbs,2014,TV-14,10,67,3744,5,67
Greenhouse Academy,greenhouse-academy-7db70,netflix,2017,TV-PG,4,40,683,5,40
Grimm,grimm-9de6c,amazon-prime,2011,TV-14,6,123,6672,5,123
Griselda,griselda-2d863,netflix,2024,TV-MA,1,6,1082,5,6
Guillermo del Toro's Cabinet of Curiosities,guillermo-del-toros-cabinet-of-curiosities-74859,netflix,2022,TV-MA,1,8,691,5,8
Guilt,guilt-0ce66,amazon-channels-pbs,2019,TV-MA,3,12,444,5,12
Gypsy,gypsy-a333e,netflix,2017,TV-MA,1,10,608,5,10
Halifax: Retribution,halifax-retribution-d1ec6,amazon-channels-pbs,2020,TV-MA,1,8,336,5,8
Halo,halo-e4378,netflix,2022,TV-14,2,17,1041,5,17
Halston,halston-726ee,netflix,2021,TV-MA,1,5,488,5,5
Halt and Catch Fire,halt-and-catch-fire-4f24a,amazon-channels-amc,2014,TV-14,2,20,1083,5,20
Hanna,hanna-14b1f,amazon-prime,2019,TV-MA,3,22,1079,5,22
Hannibal,hannibal-3919c,amazon-prime,2013,TV-MA,3,39,2331,5,39
Happy Face,happy-face-372dd,paramount,2025,TV-MA,1,8,486,5,8
Happy Valley,happy-valley-65155,amazon-channels-britbox,2014,TV-MA,3,18,1355,5,18
Hard Cell,hard-cell-70fe5,netflix,2022,TV-MA,1,6,362,4,6
Harlan Coben's Final Twist,harlan-cobens-final-twist-66751,paramount,2026,TV-14,1,5,169,5,5
Harlan Coben's Lazarus,harlan-cobens-lazarus-2b6ff,amazon-prime,2025,TV-MA,1,6,322,5,6
Harlan Coben's Shelter,harlan-cobens-shelter-9b42f,amazon-prime,2023,TV-14,1,8,775,5,8
Harlem,harlem-2c6f9,amazon-prime,2021,TV-MA,1,10,1274,5,10
Harry & Meghan,harry-meghan-8cef2,netflix,2022,TV-MA,1,6,178,5,6
Hawaii Five-0,hawaii-five-0-417e9,amazon-channels-paramount,2010,TV-14,2,47,2470,5,47
Hazbin Hotel,hazbin-hotel-c0bf7,amazon-prime,2024,TV-MA,2,16,2171,5,16
He-Man and the Masters of the Universe,he-man-and-the-masters-of-the-universe-c0f0e,netflix,2021,TV-Y7,1,10,400,3,10
Heartland,heartland-7cf9f,netflix,2007,TV-14,3,49,1740,5,49
Heartstopper,heartstopper-f75ce,netflix,2022,TV-14,1,8,179,4,8
Heels,heels-07daf,netflix,2021,TV-MA,2,16,2993,5,16
Heirs to the Land,heirs-to-the-land-92ffe,netflix,2022,TV-MA,1,8,386,4,8
Heist,heist-f2ace,netflix,2021,TV-MA,1,6,368,5,6
Hell on Wheels,hell-on-wheels-44b01,paramount,2011,TV-14,5,57,4148,5,57
Hellbound,hellbound-5e4d2,netflix,2021,TV-MA,1,6,393,4,6
Hello Tomorrow!,hello-tomorrow-d5c73,appletv,2023,TV-MA,1,10,445,4,10
Heroes,heroes-bd25a,amazon,2006,TV-14,4,78,4493,5,78
Het gouden uur,het-gouden-uur-71929,netflix,2022,TV-MA,1,6,440,5,6
High Desert,high-desert-003e7,appletv,2023,TV-MA,1,8,850,5,8
High Seas,high-seas-860de,netflix,2019,TV-MA,3,22,371,4,22
High Water,high-water-6b89a,netflix,2022,TV-MA,1,6,288,5,6
Hijack,hijack-f8e38,appletv,2023,TV-MA,2,15,748,5,15
HIS & HERS,his-hers-ba448,netflix,2026,TV-MA,1,6,762,5,6
History of Swear Words,history-of-swear-words-146ac,netflix,2021,TV-MA,1,6,1562,4,6
Hit & Run,hit-run-b7603,netflix,2021,TV-MA,1,9,589,5,9
Hold Tight,hold-tight-b163b,netflix,2022,TV-MA,1,6,410,5,6
Hollywood,hollywood-14429,netflix,2020,TV-MA,1,7,613,5,7
Hollywood Con Queen,hollywood-con-queen-d795a,appletv,2024,TV-MA,1,3,61,4,3
Home Before Dark,home-before-dark-0622d,appletv,2020,TV-14,2,20,497,5,20
Homecoming,homecoming-ae39c,amazon-prime,2018,TV-MA,2,17,461,5,17
Homicide,homicide-926b7,netflix,2024,TV-MA,2,10,438,5,10
Hostage,hostage-ded24,netflix,2025,TV-MA,1,5,219,5,5
Hotel Costiera,hotel-costiera-1f9ae,amazon-prime,2025,TV-MA,1,6,502,4,6
House,house-46c5e,amazon-prime,2004,TV-14,8,178,9319,5,178
House of Cards,house-of-cards-5632e,netflix,2013,TV-MA,6,73,2038,5,73
House of David,house-of-david-4a24a,amazon-prime,2025,TV-14,2,16,698,5,16
House of Guinness,house-of-guinness-4874a,netflix,2025,TV-MA,1,8,612,5,8
House of Lies,house-of-lies-e6bc7,amazon-channels-paramount,2012,TV-MA,2,24,3388,5,24
House of Ninjas,house-of-ninjas-37c16,netflix,2024,TV-MA,1,8,286,4,8
How to Become a Mob Boss,how-to-become-a-mob-boss-95842,netflix,2023,TV-MA,1,6,220,5,6
Humans,humans-43866,amazon-prime,2015,TV-14,3,24,895,5,24
Hunted,hunted-4a64c,amazon,2012,TV-MA,1,8,522,5,8
Hunters,hunters-1c3d2,amazon-prime,2020,TV-MA,2,18,2002,5,18
Hyperdrive,hyperdrive-7dbbe,amazon-prime,2006,TV-PG,1,6,315,5,6
