plex_guid,file_path,media_type,title,status,detail,matched_media_id,matched_slug,sidecar_path,event_count
imdb://tt11145118,F:\MediaStack\data\media\movies\Creed III (2023)\Creed III (2023) [Bluray-1080p] {imdb-tt11145118}.mkv,movie,Creed III,written,title-only movie match,694399,creed-iii,F:\MediaStack\data\media\movies\Creed III (2023)\Creed III (2023) [Bluray-1080p] {imdb-tt11145118}.leapfrog.json,206
imdb://tt0090555,F:\MediaStack\data\media\movies\Crocodile Dundee (1986)\Crocodile Dundee (1986) [Bluray-1080p] {imdb-tt0090555}.mp4,movie,Crocodile Dundee,written,title-only movie match,2791,crocodile-dundee,F:\MediaStack\data\media\movies\Crocodile Dundee (1986)\Crocodile Dundee (1986) [Bluray-1080p] {imdb-tt0090555}.leapfrog.json,245
imdb://tt0092493,F:\MediaStack\data\media\movies\Crocodile Dundee II (1988)\Crocodile Dundee II (1988) [Bluray-1080p] {imdb-tt0092493}.mp4,movie,Crocodile Dundee II,written,title-only movie match,2816,crocodile-dundee-ii,F:\MediaStack\data\media\movies\Crocodile Dundee II (1988)\Crocodile Dundee II (1988) [Bluray-1080p] {imdb-tt0092493}.leapfrog.json,195
imdb://tt0190332,"F:\MediaStack\data\media\movies\Crouching Tiger, Hidden Dragon (2000)\Crouching Tiger Hidden Dragon (2000) [Bluray-1080p] {imdb-tt0190332}.mp4",movie,"Crouching Tiger, Hidden Dragon",written,title-only movie match,1810,crouching-tiger-hidden-dragon,"F:\MediaStack\data\media\movies\Crouching Tiger, Hidden Dragon (2000)\Crouching Tiger Hidden Dragon (2000) [Bluray-1080p] {imdb-tt0190332}.leapfrog.json",71
imdb://tt0382625,F:\MediaStack\data\media\movies\The Da Vinci Code (2006)\The Da Vinci Code (2006) [Bluray-1080p] {imdb-tt0382625}.mkv,movie,The Da Vinci Code,written,title-only movie match,2132,the-da-vinci-code,F:\MediaStack\data\media\movies\The Da Vinci Code (2006)\The Da Vinci Code (2006) [Bluray-1080p] {imdb-tt0382625}.leapfrog.json,128
imdb://tt0317303,F:\MediaStack\data\media\movies\Daddy Day Care (2003)\Daddy Day Care (2003) [WEBRip-1080p] {imdb-tt0317303}.mp4,movie,Daddy Day Care,written,title-only movie match,3539,daddy-day-care,F:\MediaStack\data\media\movies\Daddy Day Care (2003)\Daddy Day Care (2003) [WEBRip-1080p] {imdb-tt0317303}.leapfrog.json,151
imdb://tt1528854,F:\MediaStack\data\media\movies\Daddy's Home (2015)\Daddys Home (2015) [Bluray-1080p] {imdb-tt1528854}.mkv,movie,Daddy's Home,written,title-only movie match,2567,daddys-home,F:\MediaStack\data\media\movies\Daddy's Home (2015)\Daddys Home (2015) [Bluray-1080p] {imdb-tt1528854}.leapfrog.json,170
imdb://tt5657846,F:\MediaStack\data\media\movies\Daddy's Home 2 (2017)\Daddys Home 2 (2017) [Bluray-1080p] {imdb-tt5657846}.mkv,movie,Daddy's Home 2,written,title-only movie match,218365,daddys-home-2,F:\MediaStack\data\media\movies\Daddy's Home 2 (2017)\Daddys Home 2 (2017) [Bluray-1080p] {imdb-tt5657846}.leapfrog.json,118
imdb://tt0790636,F:\MediaStack\data\media\movies\Dallas Buyers Club (2013)\Dallas Buyers Club (2013) [Bluray-1080p] {imdb-tt0790636}.mp4,movie,Dallas Buyers Club,written,title-only movie match,1334,dallas-buyers-club,F:\MediaStack\data\media\movies\Dallas Buyers Club (2013)\Dallas Buyers Club (2013) [Bluray-1080p] {imdb-tt0790636}.leapfrog.json,466
imdb://tt10323676,F:\MediaStack\data\media\movies\The Contractor (2022)\The Contractor (2022) [Bluray-1080p] {imdb-tt10323676}.mp4,movie,The Contractor,written,title-only movie match,691640,the-contractor-6cfcf,F:\MediaStack\data\media\movies\The Contractor (2022)\The Contractor (2022) [Bluray-1080p] {imdb-tt10323676}.leapfrog.json,162
