plex_guid,file_path,media_type,title,status,detail,matched_media_id,matched_slug,sidecar_path,event_count
imdb://tt0697719,F:\MediaStack\data\media\tv\Seinfeld\Season 06\Seinfeld - S06E12 - The Label Maker.mkv,episode,Seinfeld – Season 6 – The Label Maker,unmatched,missing episode match metadata,,,,0
imdb://tt0697770,F:\MediaStack\data\media\tv\Seinfeld\Season 06\Seinfeld - S06E13 - The Scofflaw.mkv,episode,Seinfeld – Season 6 – The Scofflaw,unmatched,missing episode match metadata,,,,0
imdb://tt0697644,F:\MediaStack\data\media\tv\Seinfeld\Season 06\Seinfeld - S06E14-E15 - The Highlights of 100 (Part 1) + The Highlights of 100 (Part 2).mkv,episode,Seinfeld – Season 6 – The Highlights of 100 (1),unmatched,missing episode match metadata,,,,0
tmdb://63212,F:\MediaStack\data\media\tv\Seinfeld\Season 06\Seinfeld - S06E14-E15 - The Highlights of 100 (Part 1) + The Highlights of 100 (Part 2).mkv,episode,Seinfeld – Season 6 – The Highlights of 100 (2),unmatched,missing episode match metadata,,,,0
imdb://tt0697654,F:\MediaStack\data\media\tv\Seinfeld\Season 06\Seinfeld - S06E16 - The Beard.mkv,episode,Seinfeld – Season 6 – The Beard,unmatched,missing episode match metadata,,,,0
imdb://tt0697718,F:\MediaStack\data\media\tv\Seinfeld\Season 06\Seinfeld - S06E17 - The Kiss Hello.mkv,episode,Seinfeld – Season 6 – The Kiss Hello,unmatched,missing episode match metadata,,,,0
imdb://tt0697689,F:\MediaStack\data\media\tv\Seinfeld\Season 06\Seinfeld - S06E18 - The Doorman.mkv,episode,Seinfeld – Season 6 – The Doorman,unmatched,missing episode match metadata,,,,0
imdb://tt0697714,F:\MediaStack\data\media\tv\Seinfeld\Season 06\Seinfeld - S06E19 - The Jimmy.mkv,episode,Seinfeld – Season 6 – The Jimmy,unmatched,missing episode match metadata,,,,0
imdb://tt0697688,F:\MediaStack\data\media\tv\Seinfeld\Season 06\Seinfeld - S06E20 - The Doodle.mkv,episode,Seinfeld – Season 6 – The Doodle,unmatched,missing episode match metadata,,,,0
imdb://tt0697702,F:\MediaStack\data\media\tv\Seinfeld\Season 06\Seinfeld - S06E21 - The Fusilli Jerry.mkv,episode,Seinfeld – Season 6 – The Fusilli Jerry,unmatched,missing episode match metadata,,,,0
